,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Year
4,5,Klay Thompson,24,GSW,2.0,42.0,645,0.065,77,31.9,21.7,3.2,2.9,1.1,0.8,.463,.439,.879,8.8,.172,2015
5,6,Anthony Davis,21,NOP,4.0,27.0,645,0.042,68,36.1,24.4,10.2,2.2,1.5,2.9,.535,.083,.805,14.0,.274,2015
6,7,Giannis Antetokounmpo,20,MIL,1.0,22.0,645,0.034,81,31.4,12.7,6.7,2.6,0.9,1.0,.491,.159,.741,6.2,.117,2015
7,8,Donatas Motiejūnas,24,HOU,0.0,7.0,645,0.011,71,28.7,12.0,5.9,1.8,0.8,0.5,.504,.368,.602,4.7,.110,2015
8,9,Dennis Schröder,21,ATL,0.0,6.0,645,0.009,77,19.7,10.0,2.1,4.1,0.6,0.1,.427,.351,.827,2.5,.080,2015
9,10T,DeMarre Carroll,28,ATL,1.0,5.0,645,0.008,70,31.3,12.6,5.3,1.7,1.3,0.2,.487,.395,.702,7.0,.154,2015
10,10T,Tyler Zeller,25,BOS,1.0,5.0,645,0.008,82,21.1,10.2,5.7,1.4,0.2,0.6,.549,,.823,6.5,.179,2015
11,12T,DeMarcus Cousins,24,SAC,0.0,4.0,645,0.006,59,34.1,24.1,12.7,3.6,1.5,1.7,.467,.250,.782,6.0,.144,2015
12,12T,Khris Middleton,23,MIL,0.0,4.0,645,0.006,79,30.1,13.4,4.4,2.3,1.5,0.1,.467,.407,.859,6.7,.135,2015
13,14T,Jae Crowder,24,TOT,0.0,3.0,645,0.005,82,20.1,7.7,3.6,1.1,0.9,0.3,.420,.293,.773,3.9,.113,2015
14,14T,Kyrie Irving,22,CLE,0.0,3.0,645,0.005,75,36.4,21.7,3.2,5.2,1.5,0.3,.468,.415,.863,10.4,.183,2015
15,14T,DeAndre Jordan,26,LAC,0.0,3.0,645,0.005,82,34.4,11.5,15.0,0.7,1.0,2.2,.710,.250,.397,12.8,.217,2015
16,14T,Victor Oladipo,22,ORL,0.0,3.0,645,0.005,72,35.7,17.9,4.2,4.1,1.7,0.3,.436,.339,.819,3.5,.065,2015
17,18T,Kentavious Caldwell-Pope,21,DET,0.0,2.0,645,0.003,82,31.5,12.7,3.1,1.3,1.1,0.2,.401,.345,.696,2.8,.052,2015
18,18T,Nikola Vučević,24,ORL,0.0,2.0,645,0.003,74,34.2,19.3,10.9,2.0,0.7,0.7,.523,.333,.752,7.0,.133,2015
19,20T,Robert Covington,24,PHI,0.0,1.0,645,0.002,70,27.9,13.5,4.5,1.5,1.4,0.4,.396,.374,.820,4.0,.097,2015
20,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,2015
21,20T,Tyreke Evans,25,NOP,0.0,1.0,645,0.002,79,34.1,16.6,5.3,6.6,1.3,0.5,.447,.304,.694,4.6,.082,2015
22,20T,Derrick Favors,23,UTA,0.0,1.0,645,0.002,74,30.8,16.0,8.2,1.5,0.8,1.7,.525,.167,.669,8.3,.175,2015
23,20T,Enes Freedom,22,TOT,0.0,1.0,645,0.002,75,28.5,15.5,8.9,0.7,0.5,0.4,.519,.356,.782,6.4,.145,2015
24,20T,Marc Gasol,30,MEM,0.0,1.0,645,0.002,81,33.2,17.4,7.8,3.8,0.9,1.6,.494,.176,.795,10.2,.182,2015
25,20T,Tobias Harris,22,ORL,0.0,1.0,645,0.002,68,34.8,17.1,6.3,1.8,1.0,0.5,.466,.364,.788,4.8,.098,2015
26,20T,Gordon Hayward,24,UTA,0.0,1.0,645,0.002,76,34.4,19.3,4.9,4.1,1.4,0.4,.445,.364,.812,8.7,.159,2015
27,20T,George Hill,28,IND,0.0,1.0,645,0.002,43,29.5,16.1,4.2,5.1,1.0,0.3,.477,.358,.790,5.4,.203,2015
28,20T,Brandon Knight,23,TOT,0.0,1.0,645,0.002,63,32.3,17.0,3.9,5.2,1.4,0.2,.422,.389,.874,4.5,.106,2015
29,20T,Kawhi Leonard,23,SAS,0.0,1.0,645,0.002,64,31.8,16.5,7.2,2.5,2.3,0.8,.479,.349,.802,8.6,.204,2015
30,20T,Meyers Leonard,22,POR,0.0,1.0,645,0.002,55,15.4,5.9,4.5,0.6,0.2,0.3,.510,.420,.938,2.8,.158,2015
0,1,CJ McCollum,24,POR,101.0,559.0,650,0.86,80,34.8,20.8,3.2,4.3,1.2,0.3,0.448,0.417,0.827,6.0,0.104,2016
1,2,Kemba Walker,25,CHO,7.0,166.0,650,0.255,81,35.6,20.9,4.4,5.2,1.6,0.5,0.427,0.371,0.847,9.9,0.165,2016
2,3,Giannis Antetokounmpo,21,MIL,4.0,99.0,650,0.152,80,35.3,16.9,7.7,4.3,1.2,1.4,0.506,0.257,0.724,7.1,0.121,2016
3,4,Stephen Curry,27,GSW,7.0,83.0,650,0.128,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318,2016
4,5,Will Barton,25,DEN,1.0,62.0,650,0.095,82,28.7,14.4,5.8,2.5,0.9,0.5,0.432,0.345,0.806,4.3,0.088,2016
5,6,Jae Crowder,25,BOS,1.0,45.0,650,0.069,73,31.6,14.2,5.1,1.8,1.7,0.5,0.443,0.336,0.82,7.3,0.152,2016
6,7,Draymond Green,25,GSW,2.0,43.0,650,0.066,81,34.7,14.0,9.5,7.4,1.5,1.4,0.49,0.388,0.696,11.1,0.19,2016
7,8,Isaiah Thomas,26,BOS,3.0,30.0,650,0.046,82,32.2,22.2,3.0,6.2,1.1,0.1,0.428,0.359,0.871,9.7,0.177,2016
8,9,Hassan Whiteside,26,MIA,1.0,26.0,650,0.04,73,29.1,14.2,11.8,0.4,0.6,3.7,0.606,,0.65,10.3,0.233,2016
9,10,Kawhi Leonard,24,SAS,1.0,18.0,650,0.028,72,33.1,21.2,6.8,2.6,1.8,1.0,0.506,0.443,0.874,13.7,0.277,2016
10,11,Andre Drummond,22,DET,1.0,11.0,650,0.017,81,32.9,16.2,14.8,0.8,1.5,1.4,0.521,0.333,0.355,7.4,0.133,2016
11,12,Gary Harris,21,DEN,1.0,6.0,650,0.009,76,32.1,12.3,2.9,1.9,1.3,0.2,0.469,0.354,0.82,4.0,0.079,2016
12,13T,Kent Bazemore,26,ATL,0.0,4.0,650,0.006,75,27.8,11.6,5.1,2.3,1.3,0.5,0.441,0.357,0.815,4.1,0.094,2016
13,13T,Evan Fournier,23,ORL,0.0,4.0,650,0.006,79,32.5,15.4,2.8,2.7,1.2,0.0,0.462,0.4,0.836,5.7,0.106,2016
14,15T,Rodney Hood,23,UTA,0.0,3.0,650,0.005,79,32.2,14.5,3.4,2.7,0.9,0.2,0.42,0.359,0.86,6.0,0.112,2016
15,15T,Reggie Jackson,25,DET,0.0,3.0,650,0.005,79,30.7,18.8,3.2,6.2,0.7,0.1,0.434,0.353,0.864,6.9,0.136,2016
16,15T,Ian Mahinmi,29,IND,0.0,3.0,650,0.005,71,25.6,9.3,7.1,1.5,0.9,1.1,0.589,,0.587,6.2,0.163,2016
17,15T,Russell Westbrook,27,OKC,0.0,3.0,650,0.005,80,34.4,23.5,7.8,10.4,2.0,0.3,0.454,0.296,0.812,14.0,0.245,2016
18,19T,Zach LaVine,20,MIN,0.0,1.0,650,0.002,82,28.0,14.0,2.8,3.1,0.8,0.2,0.452,0.389,0.793,2.6,0.054,2016
19,19T,Kyle Lowry,29,TOR,0.0,1.0,650,0.002,77,37.0,21.2,4.7,6.4,2.1,0.4,0.427,0.388,0.811,11.6,0.196,2016
0,1,Giannis Antetokounmpo,22,MIL,80.0,428.0,500,0.856,80,35.6,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,12.4,0.21,2017
1,2,Nikola Jokić,21,DEN,14.0,161.0,500,0.322,73,27.9,16.7,9.8,4.9,0.8,0.8,0.578,0.324,0.825,9.7,0.228,2017
2,3,Rudy Gobert,24,UTA,1.0,113.0,500,0.226,81,33.9,14.0,12.8,1.2,0.6,2.6,0.661,0.0,0.653,14.3,0.25,2017
3,4,Otto Porter Jr.,23,WAS,1.0,43.0,500,0.086,80,32.6,13.4,6.4,1.5,1.5,0.5,0.516,0.434,0.832,9.4,0.173,2017
4,5,Isaiah Thomas,27,BOS,0.0,35.0,500,0.07,76,33.8,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909,12.5,0.234,2017
5,6,James Johnson,29,MIA,1.0,34.0,500,0.068,76,27.4,12.8,4.9,3.6,1.0,1.1,0.479,0.34,0.707,5.1,0.117,2017
6,7,Bradley Beal,23,WAS,1.0,19.0,500,0.038,77,34.9,23.1,3.1,3.5,1.1,0.3,0.482,0.404,0.825,8.5,0.152,2017
7,8,Devin Booker,20,PHO,1.0,18.0,500,0.036,78,35.0,22.1,3.2,3.4,0.9,0.3,0.423,0.363,0.832,2.0,0.035,2017
8,9,Tim Hardaway Jr.,24,ATL,0.0,14.0,500,0.028,79,27.3,14.5,2.8,2.3,0.7,0.2,0.455,0.357,0.766,4.8,0.107,2017
9,10,Mike Conley,29,MEM,1.0,5.0,500,0.01,69,33.2,20.5,3.5,6.3,1.3,0.3,0.46,0.408,0.859,10.0,0.209,2017
10,11,Dion Waiters,25,MIA,0.0,4.0,500,0.008,46,30.1,15.8,3.3,4.3,0.9,0.4,0.424,0.395,0.646,1.6,0.057,2017
11,12T,Gordon Hayward,26,UTA,0.0,3.0,500,0.006,73,34.5,21.9,5.4,3.5,1.0,0.3,0.471,0.398,0.844,10.4,0.199,2017
12,12T,Jusuf Nurkić,22,TOT,0.0,3.0,500,0.006,65,21.4,10.2,7.2,1.9,0.8,1.1,0.507,0.0,0.571,2.0,0.068,2017
13,12T,Kristaps Porziņģis,21,NYK,0.0,3.0,500,0.006,66,32.8,18.1,7.2,1.5,0.7,2.0,0.45,0.357,0.786,4.5,0.1,2017
14,12T,Dennis Schröder,23,ATL,0.0,3.0,500,0.006,79,31.5,17.9,3.1,6.3,0.9,0.2,0.451,0.34,0.855,3.7,0.071,2017
15,16T,Harrison Barnes,24,DAL,0.0,2.0,500,0.004,79,35.5,19.2,5.0,1.5,0.8,0.2,0.468,0.351,0.861,4.6,0.078,2017
16,16T,Seth Curry,26,DAL,0.0,2.0,500,0.004,70,29.0,12.8,2.6,2.7,1.1,0.1,0.481,0.425,0.85,4.6,0.11,2017
17,16T,Gary Harris,22,DEN,0.0,2.0,500,0.004,57,31.3,14.9,3.1,2.9,1.2,0.1,0.502,0.42,0.776,4.6,0.124,2017
18,16T,Myles Turner,20,IND,0.0,2.0,500,0.004,81,31.4,14.5,7.3,1.3,0.9,2.1,0.511,0.348,0.809,8.0,0.151,2017
19,20T,Avery Bradley,26,BOS,0.0,1.0,500,0.002,55,33.4,16.3,6.1,2.2,1.2,0.2,0.463,0.39,0.731,3.1,0.081,2017
20,20T,Clint Capela,22,HOU,0.0,1.0,500,0.002,65,23.9,12.6,8.1,1.0,0.5,1.2,0.643,,0.531,5.9,0.184,2017
21,20T,DeMar DeRozan,27,TOR,0.0,1.0,500,0.002,74,35.4,27.3,5.2,3.9,1.1,0.2,0.467,0.266,0.842,9.0,0.166,2017
22,20T,Joe Ingles,29,UTA,0.0,1.0,500,0.002,82,24.0,7.1,3.2,2.7,1.2,0.1,0.452,0.441,0.735,5.0,0.123,2017
23,20T,John Wall,26,WAS,0.0,1.0,500,0.002,78,36.4,23.1,4.2,10.7,2.0,0.6,0.451,0.327,0.801,8.8,0.149,2017
24,20T,Hassan Whiteside,27,MIA,0.0,1.0,500,0.002,77,32.6,17.0,14.1,0.7,0.7,2.1,0.557,,0.628,9.5,0.181,2017
0,1,Victor Oladipo,25,IND,99.0,499.0,505,0.988,75,34.0,23.1,5.2,4.3,2.4,0.8,.477,.371,.799,8.2,.155,2018
1,2,Clint Capela,23,HOU,1.0,99.0,505,0.196,74,27.5,13.9,10.8,0.9,0.8,1.9,.652,.000,.560,10.2,.242,2018
2,3,Spencer Dinwiddie,24,BRK,1.0,50.0,505,0.099,80,28.8,12.6,3.2,6.6,0.9,0.3,.387,.326,.813,5.7,.118,2018
3,4,Andre Drummond,24,DET,0.0,46.0,505,0.091,78,33.7,15.0,16.0,3.0,1.5,1.6,.529,.000,.605,10.3,.189,2018
4,5,Julius Randle,23,LAL,0.0,36.0,505,0.071,82,26.7,16.1,8.0,2.6,0.5,0.5,.558,.222,.718,6.6,.145,2018
5,6,Steven Adams,24,OKC,0.0,34.0,505,0.067,76,32.7,13.9,9.0,1.2,1.2,1.0,.629,.000,.559,9.7,.187,2018
6,7,Jaylen Brown,21,BOS,0.0,32.0,505,0.063,70,30.7,14.5,4.9,1.6,1.0,0.4,.465,.395,.644,4.5,.100,2018
7,8,Jamal Murray,20,DEN,0.0,24.0,505,0.048,81,31.7,16.7,3.7,3.4,1.0,0.3,.451,.378,.905,5.5,.103,2018
8,9,DeMar DeRozan,28,TOR,0.0,9.0,505,0.018,80,33.9,23.0,3.9,5.2,1.1,0.3,.456,.310,.825,9.6,.170,2018
9,10T,Terry Rozier,23,BOS,0.0,8.0,505,0.016,80,25.9,11.3,4.7,2.9,1.0,0.2,.395,.381,.772,5.6,.130,2018
10,10T,Lou Williams,31,LAC,0.0,8.0,505,0.016,79,32.8,22.6,2.5,5.3,1.1,0.2,.435,.359,.880,6.7,.125,2018
11,12,Giannis Antetokounmpo,23,MIL,0.0,7.0,505,0.014,75,36.7,26.9,10.0,4.8,1.5,1.4,.529,.307,.760,11.9,.207,2018
12,13T,Nikola Jokić,22,DEN,0.0,6.0,505,0.012,75,32.6,18.5,10.7,6.1,1.2,0.8,.499,.396,.850,10.7,.211,2018
13,13T,E'Twaun Moore,28,NOP,0.0,6.0,505,0.012,82,31.5,12.5,2.9,2.3,1.0,0.1,.508,.425,.706,4.4,.081,2018
14,13T,Domantas Sabonis,21,IND,0.0,6.0,505,0.012,74,24.5,11.6,7.7,2.0,0.5,0.4,.514,.351,.750,4.7,.126,2018
15,13T,Fred VanVleet,23,TOR,0.0,6.0,505,0.012,76,20.0,8.6,2.4,3.2,0.9,0.3,.426,.414,.832,4.7,.149,2018
16,17T,Tyreke Evans,28,MEM,0.0,4.0,505,0.008,52,30.9,19.4,5.1,5.2,1.1,0.3,.452,.399,.785,4.2,.126,2018
17,17T,Brandon Ingram,20,LAL,0.0,4.0,505,0.008,59,33.5,16.1,5.3,3.9,0.8,0.7,.470,.390,.681,2.8,.068,2018
18,17T,Dejounte Murray,21,SAS,0.0,4.0,505,0.008,81,21.5,8.1,5.7,2.9,1.2,0.4,.443,.265,.709,3.2,.087,2018
19,20T,Tobias Harris,25,TOT,0.0,3.0,505,0.006,80,33.4,18.6,5.5,2.4,0.9,0.4,.460,.411,.829,6.7,.120,2018
20,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,2018
21,20T,Joe Ingles,30,UTA,0.0,3.0,505,0.006,82,31.4,11.5,4.2,4.8,1.1,0.2,.467,.440,.795,7.6,.141,2018
22,20T,Dario Šarić,23,PHI,0.0,3.0,505,0.006,78,29.6,14.6,6.7,2.6,0.7,0.3,.453,.393,.860,6.6,.137,2018
23,23T,Kris Dunn,23,CHI,0.0,2.0,505,0.004,52,29.3,13.4,4.3,6.0,2.0,0.5,.429,.321,.737,0.9,.027,2018
24,23T,Aaron Gordon,22,ORL,0.0,2.0,505,0.004,58,32.9,17.6,7.9,2.3,1.0,0.8,.434,.336,.698,2.9,.072,2018
25,25T,Montrezl Harrell,24,LAC,0.0,1.0,505,0.002,76,17.0,11.0,4.0,1.0,0.5,0.7,.635,.143,.626,5.5,.205,2018
26,25T,Kristaps Porziņģis,22,NYK,0.0,1.0,505,0.002,48,32.4,22.7,6.6,1.2,0.8,2.4,.439,.395,.793,3.2,.099,2018
27,25T,Taurean Prince,23,ATL,0.0,1.0,505,0.002,82,30.0,14.1,4.7,2.6,1.0,0.5,.426,.385,.844,2.0,.038,2018
28,25T,Josh Richardson,24,MIA,0.0,1.0,505,0.002,81,33.2,12.9,3.5,2.9,1.5,0.9,.451,.378,.845,5.4,.096,2018
29,25T,Ricky Rubio,27,UTA,0.0,1.0,505,0.002,77,29.3,13.1,4.6,5.3,1.6,0.1,.418,.352,.866,5.3,.112,2018
30,25T,Pascal Siakam,23,TOR,0.0,1.0,505,0.002,81,20.7,7.3,4.5,2.0,0.8,0.5,.508,.220,.621,4.7,.133,2018
31,25T,Karl-Anthony Towns,22,MIN,0.0,1.0,505,0.002,82,35.6,21.3,12.3,2.4,0.8,1.4,.545,.421,.858,14.0,.230,2018
32,25T,T.J. Warren,24,PHO,0.0,1.0,505,0.002,65,33.0,19.6,5.1,1.3,1.0,0.6,.498,.222,.757,3.4,.077,2018
0,1,Pascal Siakam,24,TOR,86.0,469.0,500,0.938,80,31.9,16.9,6.9,3.1,0.9,0.7,0.549,0.369,0.785,9.3,0.175,2019
1,2,D'Angelo Russell,22,BRK,12.0,255.0,500,0.51,81,30.2,21.1,3.9,7.0,1.2,0.2,0.434,0.369,0.78,5.0,0.097,2019
2,3,De'Aaron Fox,21,SAC,1.0,77.0,500,0.154,81,31.4,17.3,3.8,7.3,1.6,0.6,0.458,0.371,0.727,5.6,0.106,2019
3,4,Buddy Hield,26,SAC,0.0,22.0,500,0.044,82,31.9,20.7,5.0,2.5,0.7,0.4,0.458,0.427,0.886,5.9,0.108,2019
4,5,Nikola Vučević,28,ORL,0.0,20.0,500,0.04,80,31.4,20.8,12.0,3.8,1.0,1.1,0.518,0.364,0.789,10.1,0.193,2019
5,6,Domantas Sabonis,22,IND,0.0,10.0,500,0.02,74,24.8,14.1,9.3,2.9,0.6,0.4,0.59,0.529,0.715,7.6,0.197,2019
6,7,Montrezl Harrell,25,LAC,0.0,9.0,500,0.018,82,26.3,16.6,6.5,2.0,0.9,1.3,0.615,0.176,0.643,8.7,0.193,2019
7,8,Derrick Rose,30,MIN,1.0,8.0,500,0.016,51,27.3,18.0,2.7,4.3,0.6,0.2,0.482,0.37,0.856,3.0,0.102,2019
8,9,John Collins,21,ATL,0.0,6.0,500,0.012,61,30.0,19.5,9.8,2.0,0.4,0.6,0.56,0.348,0.763,6.0,0.158,2019
9,10,Giannis Antetokounmpo,24,MIL,0.0,4.0,500,0.008,72,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,0.292,2019
10,11T,Malik Beasley,22,DEN,0.0,3.0,500,0.006,81,23.2,11.3,2.5,1.2,0.7,0.1,0.474,0.402,0.848,4.5,0.115,2019
11,11T,Danilo Gallinari,30,LAC,0.0,3.0,500,0.006,68,30.3,19.8,6.1,2.6,0.7,0.3,0.463,0.433,0.904,8.2,0.191,2019
12,11T,Paul George,28,OKC,0.0,3.0,500,0.006,77,36.9,28.0,8.2,4.1,2.2,0.4,0.438,0.386,0.839,11.9,0.201,2019
13,14T,Bojan Bogdanović,29,IND,0.0,2.0,500,0.004,81,31.8,18.0,4.1,2.0,0.9,0.0,0.497,0.425,0.807,6.8,0.126,2019
14,14T,Thomas Bryant,21,WAS,0.0,2.0,500,0.004,72,20.8,10.5,6.3,1.3,0.3,0.9,0.616,0.333,0.781,5.6,0.178,2019
15,16T,Willie Cauley-Stein,25,SAC,0.0,1.0,500,0.002,81,27.3,11.9,8.4,2.4,1.2,0.6,0.556,0.5,0.551,6.7,0.146,2019
16,16T,Spencer Dinwiddie,25,BRK,0.0,1.0,500,0.002,68,28.1,16.8,2.4,4.6,0.6,0.3,0.442,0.335,0.806,4.8,0.121,2019
17,16T,Bryn Forbes,25,SAS,0.0,1.0,500,0.002,82,28.0,11.8,2.9,2.1,0.5,0.0,0.456,0.426,0.885,3.8,0.079,2019
18,16T,Jerami Grant,24,OKC,0.0,1.0,500,0.002,80,32.7,13.6,5.2,1.0,0.8,1.3,0.497,0.392,0.71,7.3,0.134,2019
19,16T,Zach LaVine,23,CHI,0.0,1.0,500,0.002,63,34.5,23.7,4.7,4.5,1.0,0.4,0.467,0.374,0.832,2.8,0.062,2019
20,16T,Josh Richardson,25,MIA,0.0,1.0,500,0.002,73,34.8,16.6,3.6,4.1,1.1,0.5,0.412,0.357,0.861,5.6,0.106,2019
21,16T,Derrick White,24,SAS,0.0,1.0,500,0.002,67,25.8,9.9,3.7,3.9,1.0,0.7,0.479,0.338,0.772,3.6,0.101,2019
0,1,Brandon Ingram,22,NOP,42.0,326.0,500,0.652,62,33.9,23.8,6.1,4.2,1.0,0.6,0.463,0.391,0.851,5.1,0.115,2020
1,2,Bam Adebayo,22,MIA,38.0,295.0,500,0.59,72,33.6,15.9,10.2,5.1,1.1,1.3,0.557,0.143,0.691,8.5,0.168,2020
2,3,Luka Dončić,20,DAL,12.0,101.0,500,0.202,61,33.6,28.8,9.4,8.8,1.0,0.2,0.463,0.316,0.758,8.8,0.207,2020
3,4,Jayson Tatum,21,BOS,3.0,57.0,500,0.114,66,34.3,23.4,7.0,3.0,1.4,0.9,0.45,0.403,0.812,6.9,0.146,2020
4,5,Devonte' Graham,24,CHO,2.0,50.0,500,0.1,63,35.1,18.2,3.4,7.5,1.0,0.2,0.382,0.373,0.82,3.4,0.073,2020
5,6,Shai Gilgeous-Alexander,21,OKC,0.0,21.0,500,0.042,70,34.7,19.0,5.9,3.3,1.1,0.7,0.471,0.347,0.807,6.1,0.121,2020
6,7,Pascal Siakam,25,TOR,1.0,13.0,500,0.026,60,35.2,22.9,7.3,3.5,1.0,0.9,0.453,0.359,0.792,5.4,0.123,2020
7,8,Christian Wood,24,DET,1.0,11.0,500,0.022,62,21.4,13.1,6.3,1.0,0.5,0.9,0.567,0.386,0.744,5.1,0.183,2020
8,9,Trae Young,21,ATL,0.0,10.0,500,0.02,60,35.3,29.6,4.3,9.3,1.1,0.1,0.437,0.361,0.86,5.9,0.133,2020
9,10,Fred VanVleet,25,TOR,1.0,6.0,500,0.012,54,35.7,17.6,3.8,6.6,1.9,0.3,0.413,0.39,0.848,5.8,0.145,2020
10,11T,Dāvis Bertāns,27,WAS,0.0,3.0,500,0.006,54,29.3,15.4,4.5,1.7,0.7,0.6,0.434,0.424,0.852,3.5,0.107,2020
11,11T,Jaylen Brown,23,BOS,0.0,3.0,500,0.006,57,33.9,20.3,6.4,2.1,1.1,0.4,0.481,0.382,0.724,4.9,0.123,2020
12,13,Markelle Fultz,21,ORL,0.0,2.0,500,0.004,72,27.7,12.1,3.3,5.1,1.3,0.2,0.465,0.267,0.73,2.7,0.065,2020
13,14T,Spencer Dinwiddie,26,BRK,0.0,1.0,500,0.002,64,31.2,20.6,3.5,6.8,0.6,0.3,0.415,0.308,0.778,4.8,0.116,2020
14,14T,Duncan Robinson,25,MIA,0.0,1.0,500,0.002,73,29.7,13.5,3.2,1.4,0.5,0.3,0.47,0.446,0.931,5.3,0.118,2020
0,1,Julius Randle,26,NYK,98.0,493.0,500,0.986,71,37.6,24.1,10.2,6.0,0.9,0.3,0.456,0.411,0.811,7.8,0.14,2021
1,2,Jerami Grant,26,DET,2.0,140.0,500,0.28,54,33.9,22.3,4.6,2.8,0.6,1.1,0.429,0.35,0.845,3.2,0.083,2021
2,3,Michael Porter Jr.,22,DEN,0.0,138.0,500,0.276,61,31.3,19.0,7.3,1.1,0.7,0.9,0.542,0.445,0.791,6.9,0.173,2021
3,4,Christian Wood,25,HOU,0.0,44.0,500,0.088,41,32.3,21.0,9.6,1.7,0.8,1.2,0.514,0.374,0.631,2.8,0.1,2021
4,5,Zach LaVine,25,CHI,0.0,20.0,500,0.04,58,35.1,27.4,5.0,4.9,0.8,0.5,0.507,0.419,0.849,5.9,0.138,2021
5,6T,Chris Boucher,28,TOR,0.0,10.0,500,0.02,60,24.2,13.6,6.7,1.1,0.6,1.9,0.514,0.383,0.788,6.1,0.201,2021
6,6T,Jaylen Brown,24,BOS,0.0,10.0,500,0.02,58,34.5,24.7,6.0,3.4,1.2,0.6,0.484,0.397,0.764,4.8,0.115,2021
7,8,Mikal Bridges,24,PHO,0.0,8.0,500,0.016,72,32.6,13.5,4.3,2.1,1.1,0.9,0.543,0.425,0.84,8.0,0.164,2021
8,9,Zion Williamson,20,NOP,0.0,6.0,500,0.012,61,33.2,27.0,7.2,3.7,0.9,0.6,0.611,0.294,0.698,8.7,0.205,2021
9,10T,Clint Capela,26,ATL,0.0,3.0,500,0.006,63,30.1,15.2,14.3,0.8,0.7,2.0,0.594,,0.573,8.2,0.207,2021
10,10T,Jordan Clarkson,28,UTA,0.0,3.0,500,0.006,68,26.7,18.4,4.0,2.5,0.9,0.1,0.425,0.347,0.896,4.2,0.111,2021
11,10T,Luguentz Dort,21,OKC,0.0,3.0,500,0.006,52,29.7,14.0,3.6,1.7,0.9,0.4,0.387,0.343,0.744,0.3,0.011,2021
12,10T,Darius Garland,21,CLE,0.0,3.0,500,0.006,54,33.1,17.4,2.4,6.1,1.2,0.1,0.451,0.395,0.848,1.2,0.033,2021
13,10T,Jordan Poole,21,GSW,0.0,3.0,500,0.006,51,19.4,12.0,1.8,1.9,0.5,0.2,0.432,0.351,0.882,1.9,0.094,2021
14,10T,Nikola Vučević,30,TOT,0.0,3.0,500,0.006,70,33.5,23.4,11.7,3.8,0.9,0.7,0.477,0.4,0.84,6.3,0.129,2021
15,16T,Kyle Anderson,27,MEM,0.0,2.0,500,0.004,69,27.3,12.4,5.7,3.6,1.2,0.8,0.468,0.36,0.783,5.6,0.143,2021
16,16T,RJ Barrett,20,NYK,0.0,2.0,500,0.004,72,34.9,17.6,5.8,3.0,0.7,0.3,0.441,0.401,0.746,4.1,0.078,2021
17,16T,Miles Bridges,22,CHO,0.0,2.0,500,0.004,66,29.3,12.7,6.0,2.2,0.7,0.8,0.503,0.4,0.867,4.2,0.105,2021
18,19T,Lonzo Ball,23,NOP,0.0,1.0,500,0.002,55,31.8,14.6,4.8,5.7,1.5,0.6,0.414,0.378,0.781,3.2,0.089,2021
19,19T,Bojan Bogdanović,31,UTA,0.0,1.0,500,0.002,72,30.8,17.0,3.9,1.9,0.6,0.1,0.439,0.39,0.879,5.2,0.113,2021
20,19T,Shai Gilgeous-Alexander,22,OKC,0.0,1.0,500,0.002,35,33.7,23.7,4.7,5.9,0.8,0.7,0.508,0.418,0.808,3.5,0.143,2021
21,19T,Richaun Holmes,27,SAC,0.0,1.0,500,0.002,61,29.2,14.2,8.3,1.7,0.6,1.6,0.637,0.182,0.794,6.1,0.165,2021
22,19T,T.J. McConnell,28,IND,0.0,1.0,500,0.002,69,26.0,8.6,3.7,6.6,1.9,0.3,0.559,0.313,0.688,4.8,0.128,2021
23,19T,Terry Rozier,26,CHO,0.0,1.0,500,0.002,69,34.5,20.4,4.4,4.2,1.3,0.4,0.45,0.389,0.817,5.2,0.105,2021
24,19T,Andrew Wiggins,25,GSW,0.0,1.0,500,0.002,71,33.3,18.6,4.9,2.4,0.9,1.0,0.477,0.38,0.714,3.9,0.08,2021
0,1,Ja Morant,22,MEM,38.0,221.0,500,0.442,57,33.1,27.4,5.7,6.7,1.2,0.4,0.493,0.344,0.761,6.7,0.171,2022
1,2,Dejounte Murray,25,SAS,20.0,183.0,500,0.366,68,34.8,21.1,8.3,9.2,2.0,0.3,0.462,0.327,0.794,7.3,0.149,2022
2,3,Darius Garland,22,CLE,11.0,178.0,500,0.356,68,35.7,21.7,3.3,8.6,1.3,0.1,0.462,0.383,0.892,6.3,0.125,2022
3,4,Jordan Poole,22,GSW,15.0,131.0,500,0.262,76,30.0,18.5,3.4,4.0,0.8,0.3,0.448,0.364,0.925,6.0,0.126,2022
4,5,Desmond Bane,23,MEM,7.0,74.0,500,0.148,76,29.8,18.2,4.4,2.7,1.2,0.4,0.461,0.436,0.903,7.2,0.153,2022
